University,Rank, CSE-cost,Credit,Weiver ,Admission Fee,Minimum GPA (SSC+HSC),Hostel,Location 
Green University Of Bangladesh,8,713000,144,Yes,20000,5,Yes,"Purbachal,Dhaka"
North South University,1,810200,134,Yes,25000,8,No,"Bashundhara,Dhaka"
University of Science & Technology Chittagong,18,505000,157,Yes,25000,5,No,Chittagong
"Independent University, Bangladesh",4,827500,143,Yes,25000,8,Yes ,"Bashundhara,Dhaka"
Central Women's University,51,761000,160,Yes ,15000,5,No ,"Hatkhola Road,Dhaka"
International University of Business Agriculture & Technology,13,940864,143,Yes ,15000,5,Yes ,"Uttara, Dhaka"
International Islamic University Chittagong,9,661576,154,Yes,30000,6,Yes ,Chittagong
Ahsanullah University of Science and Technology,7,834500,156,Yes,131000,8,Yes,"Tejgaon Industrial Area,Dhaka "
American International University-Bangladesh,5,939000,148,Yes ,25000,5,No ,"Khilkhet,Dhaka"
East West University,6,761000,140,Yes,15000,5,Yes ,"Aftabnagar,Dhaka"
University of Asia Pacific,11,713200,162,Yes ,21500,6,No ,"Green Rd,Dhaka"
Gono Bishwabidyalay,24,350000,160,Yes ,4500,5,Yes ,"Ashulia,Savar,Dhaka"
Asian University of Bangladesh,84,348525,157,Yes ,13000,5,Yes ,"Ashulia,Dhaka"
Dhaka International University,17,350000,148,Yes ,9600,5,Yes ,"Satarkul Rd, Dhaka"
Manarat International University,29,400100,137,Yes ,16000,5,Yes ,"Ashulia, Dhaka"
BRAC University,3,1094000,136,Yes ,28000,7,Yes ,"Mohakhali,Dhaka"
Bangladesh University ,45,627900,161,Yes ,12500,5,Yes ,"Mohammadpur,Dhaka"
Leading University,31,466400,160,Yes ,20000,5,Yes ,"South Surma, Sylhet"
BGC Trust University Bangladesh,20,340000,160,Yes ,15000,5,No ,"Chandanaish,Chattogram"
Sylhet International University,46,253000,139,Yes ,12000,5,Yes ,"Shamimabad Rd, Sylhet"
Premier University,30,351000,150,Yes ,15000,5,Yes ,Chittagong
Daffodil International University,2,931800,154,Yes ,26625,5,Yes ,"Ashulia,Dhaka"
Stamford University Bangladesh,15,656500,158,Yes ,15000,5,No ,"51 Siddheswari Rd, Dhaka"
State University of Bangladesh (SUB),22,632000,140,Yes ,15000,5,Yes ,"Purbachal,Dhaka"
City University,33,282600,157,Yes ,10800,5,Yes ,"Savar,Dhaka"
Prime University,36,463500,157,Yes ,11000,6,Yes ,"Mirpur 1,Dhaka"
Northern University Bangladesh,19,520260,152,Yes ,12500,5,Yes ,", Uttra, Dhaka"
World University of Bangladesh,21,598500,146,Yes ,15000,6,Yes ,"Uttara, Dhaka"
Shanto-Mariam University of Creative Technology,91,392000,156,Yes ,20000,5,Yes ,"Uttara,Dhaka"
Eastern University,28,463500,150,Yes ,10000,5,Yes ,"Ashulia,Dhaka"
Uttara University,23,523000,135,Yes ,20300,5,Yes ,"Uttara,Dhaka"
United International University,10,860450,138,Yes ,20000,5,Yes ,"Badda,Dhaka"
University of South Asia,64,471300,153,Yes ,16800,5,Yes ,"Savar,Dhaka"
Bangladesh University of Business & Technology,37,580540,154,Yes ,10200,5,Yes ,"Mirpur-2,Dhaka"
University of Information Technology & Sciences,40,497700,147,Yes ,12700,5,No ,"Baridhara,Dhaka"
Primeasia University,25,463500,153,Yes ,10000,5,Yes ,"Banani,Dhaka"
University of Liberal Arts Bangladesh,14,745500,140,Yes ,15000,6,Yes ,"Beribadh Road, Dhaka"
Bangladesh Islami University,49,409200,161,Yes ,25000,5,Yes ,Mugda
Hamdard University Bangladesh,53,359450,152,Yes ,15000,5,Yes ,"Hamdard, Munshiganj "
Varendra University,42,500600,151,Yes ,12000,5,Yes ,"Chandrima,Rajshahi"
North East University Bangladesh,64,520260,152,Yes ,20000,5,Yes ,"Kazirbazar Rd, Sylhet"
North Western University,54,363300,162,Yes ,16700,5,Yes ,"M A Bari St, Khulna"
Sonargaon University,52,383500,162,Yes ,10500,5,Yes ,"Panthapath, Tejgaon"
"Northern University of Business & Technology, Khulna",72,254660,141,Yes ,16500,5,No ,Khulna 
Canadian University of Bangladesh,56,598500,146,Yes ,11000,5,Yes ,PRAGATI SHARANI
"Bangladesh Army University of Science and Technology, Khulna",93,695000,152,Yes ,25000,6,Yes ,Saidpur
"	Chattogram BGMEA University of Fashion and Technology",35,651400,156,Yes ,15000,5,No ,Chittagong
"Rabindra Maitree University, Kushtia",78,252000,177,Yes ,10000,6,Yes ,Kushtia
German University Bangladesh,70,240000,165,Yes ,15000,5,Yes ,"Joydebpur,Gazipur"
Global University Bangladesh,69,598500,146,Yes ,11000,5,Yes ,"Natullahbad, Barishal"
Southest University,12,690000,150,Yes,15000,6,Yes,"Tejgaon Industrial Area, Dhaka"
Metropolitan University Sylhet,26,375000,150,Yes,20000,6,Yes,"Pirer bazar, Sylhet"
Asian University for Women,16,720000,150,Yes,9500,5,Yes,"Mohammed Ali Rd, Chittagong "
University of Development Alternative,27,447600,159,Yes,30000,5,Yes,"Dhanmondi,Dhaka "
Atish Dipankar University of Science and Technology,34,352660,154,Yes,15000,5,No,"Uttara,Dhaka"
